"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","18pF/82pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C2","1","5.6pF/22pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C3","1","120pF/510pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C4,C5","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C6","1","100pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C7","1","22uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C8","1","470nF","","","","Capacitor_THT:C_Radial_D10.0mm_H12.5mm_P5.00mm",""
"J1","1","Input","","","","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount",""
"J2","1","Output","","","","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount",""
"J3","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"L1","1","39nH/150nH","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",""
"L2","1","130nH/560nH","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",""
"L3","1","6.2nH/22nH","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",""
"L4","1","100nH","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",""
"U1","1","ADL5602","","","","Package_TO_SOT_SMD:SOT-89-3_Handsoldering","https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5610.pdf"
"U2","1","LM2940CT-5.0","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","https://www.onsemi.com/pub/Collateral/MC78M00-D.PDF"
